Label 1,Label 2,Label 3,Label 4,Label 5
web_site,sunscreen,Band_Aid,pill_bottle,rule
seashore,breakwater,promontory,beacon,sandbar
cliff_dwelling,cliff,alp,water_bottle,volcano
dam,park_bench,lakeside,suspension_bridge,canoe
bannister,restaurant,pier,cinema,window_shade
traffic_light,spotlight,parking_meter,picket_fence,solar_dish
envelope,loupe,quill,analog_clock,wall_clock
loupe,envelope,nematode,stopwatch,magnetic_compass
nematode,quill,envelope,stethoscope,Petri_dish
nematode,Band_Aid,magnetic_compass,handkerchief,envelope
nematode,Petri_dish,stethoscope,envelope,oscilloscope
nematode,envelope,oscilloscope,binder,book_jacket
nematode,envelope,handkerchief,loupe,binder
oscilloscope,slide_rule,nematode,loupe,crossword_puzzle
Petri_dish,nematode,loupe,magnetic_compass,slide_rule
hourglass,nematode,whistle,stethoscope,ocarina
envelope,can_opener,hair_slide,whistle,letter_opener
whistle,ocarina,nematode,oxygen_mask,bolo_tie
analog_clock,wall_clock,safety_pin,sunglass,loupe
bow,pole,reel,spatula,drumstick
analog_clock,barometer,stopwatch,quill,wall_clock
tripod,bow,barn_spider,hook,disk_brake
cleaver,pick,loupe,whistle,hair_slide
analog_clock,crossword_puzzle,stopwatch,wall_clock,loupe
analog_clock,loupe,barometer,wall_clock,crossword_puzzle
folding_chair,tripod,analog_clock,sunglass,muzzle
loudspeaker,analog_clock,loupe,hook,ant
envelope,binder,letter_opener,rule,modem
pick,crossword_puzzle,analog_clock,slide_rule,magnetic_compass
maze,power_drill,loupe,digital_clock,carpenter's_kit
maze,digital_clock,computer_keyboard,remote_control,pick
digital_clock,maze,stopwatch,loupe,digital_watch
tripod,bolo_tie,microphone,vacuum,hook
analog_clock,wall_clock,stopwatch,digital_clock,bow
analog_clock,crossword_puzzle,maze,digital_clock,wall_clock
screw,nail,tripod,plunger,bolo_tie
bow,envelope,cockroach,maypole,lacewing
envelope,nematode,hook,radio,web_site
timber_wolf,lynx,coyote,fox_squirrel,black_grouse
horned_viper,Indian_cobra,sidewinder,meerkat,black_grouse
cheetah,meerkat,Norwich_terrier,timber_wolf,hyena
black_grouse,Indian_cobra,meerkat,agama,kite
Indian_cobra,tick,black_grouse,fox_squirrel,kite
black_grouse,brambling,agama,ptarmigan,Indian_cobra
