,DRILLING STARTED,DRILLING COMPLETED
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
value,26-Oct-11,26-Oct-11
